,genres
88310,"Action, casual, indie, simulation, strategy"
88311,"Free to play, indie, rpg, strategy"
88312,"Casual, free to play, indie, simulation, sports"
88313,"Action, adventure, casual"
88315,"Action, adventure, simulation"
88317,"Free to play, indie, simulation, sports"
88318,"Free to play, indie, simulation, sports"
88322,"Action, adventure, casual, indie, rpg"
88323,"Casual, indie"
88324,"Casual, indie, simulation"
88325,"Adventure, casual, indie, simulation, strategy"
88326,"Free to play, indie, simulation, sports"
88327,"Adventure, casual, indie, simulation, strategy"
88328,"Free to play, indie, simulation, sports"
88331,"Action, adventure, indie"
88333,"Racing, simulation, sports"
88334,"Racing, simulation, sports"
88335,"Action, indie"
88337,"Action, indie, racing"
88338,Action
88339,"Action, indie, rpg"
88343,"Casual, indie, simulation"
88348,"Adventure, casual, indie, rpg"
88349,Strategy
88350,Strategy
88351,"Action, indie, rpg"
88356,"Action, indie, strategy, early access"
88358,"Action, adventure, indie, rpg"
88359,"Casual, strategy, early access"
88360,"Action, indie"
88362,"Action, adventure, casual"
88365,Action
88366,"Indie, strategy"
88367,"Action, indie, rpg"
88368,"Indie, simulation"
88369,Racing
88370,"Casual, indie"
88371,"Casual, indie"
88372,Strategy
88373,Strategy
88374,"Adventure, rpg"
88375,Racing
88376,Racing
88377,"Action, adventure"
88378,Strategy
88379,Rpg
88380,"Action, adventure, rpg"
88381,Strategy
88382,Strategy
88383,Strategy
88385,Strategy
88387,Strategy
88388,"Action, adventure"
88389,Action
88390,"Action, adventure"
88391,Action
88393,"Action, adventure"
88394,Action
88395,Action
88396,Action
88397,Action
88398,Action
88399,Action
88400,Action
88401,Action
88402,Action
88403,Action
88404,Strategy
88405,Strategy
88406,"Action, rpg"
88407,Strategy
88408,Strategy
88409,Strategy
88410,Strategy
88411,Casual
88414,Action
88415,Racing
88416,Action
88417,"Action, adventure"
88418,Action
88419,Strategy
88420,Casual
88421,"Rpg, casual, adventure"
88422,Strategy
88423,"Action, adventure, strategy"
88424,Racing
88425,Action
88426,Action
88428,Action
88429,"Action, adventure"
88430,Action
88431,"Simulation, strategy"
88432,Action
88433,Action
88434,Action
88435,"Casual, indie"
88436,Action
88437,Action
88438,Action
88439,Action
88440,Simulation
88441,"Casual, simulation"
88442,Casual
88443,Casual
88444,Casual
88445,Casual
88446,Casual
88447,Casual
88448,Casual
88449,Simulation
88450,Casual
88451,"Action, adventure"
88452,Simulation
88453,Simulation
88454,Simulation
88455,Adventure
88456,Racing
88457,Adventure
88458,Racing
88460,Simulation
88462,Casual
88463,Adventure
88465,"Adventure, rpg"
88466,"Adventure, indie"
88467,"Simulation, strategy"
88468,"Action, indie"
88469,Racing
88470,Adventure
88471,Adventure
88472,Racing
88473,Strategy
88474,Strategy
88475,Strategy
88476,"Action, rpg"
88477,Action
88478,Action
88479,Strategy
88480,"Action, rpg"
88481,Indie
88482,Racing
88483,"Strategy, simulation"
88484,Strategy
88485,Action
88486,"Action, adventure"
88487,"Simulation, strategy"
88488,"Rpg, strategy"
88489,Action
88490,"Indie, casual"
88491,Racing
88492,Strategy
88493,Action
88494,Strategy
88495,Strategy
88496,Casual
88497,Action
88498,Casual
88499,Indie
88500,"Action, simulation, strategy"
88501,Action
88502,"Casual, indie"
88503,"Indie, casual, sports"
88504,"Action, adventure"
88505,Action
88506,"Action, indie, strategy"
88507,Simulation
88508,Simulation
88509,Simulation
88510,Simulation
88511,Simulation
88512,Simulation
88513,Simulation
88514,Action
88515,Action
88516,Rpg
88517,"Action, adventure"
88518,"Indie, strategy"
88519,Action
88520,"Strategy, indie"
88521,"Indie, strategy"
88522,"Action, indie"
88523,Strategy
88524,"Action, adventure, strategy"
88525,Strategy
88526,Action
88527,"Action, adventure, indie"
88528,Action
88529,Rpg
88531,"Indie, simulation"
88532,Racing
88534,"Action, indie"
88535,"Action, indie"
88536,"Action, indie"
88537,"Casual, indie"
88538,Indie
88539,"Simulation, strategy"
88540,Casual
88541,"Rpg, massively multiplayer"
88542,"Rpg, massively multiplayer"
88543,"Rpg, massively multiplayer"
88544,"Massively multiplayer, rpg"
88545,Casual
88546,Casual
88547,Rpg
88548,Strategy
88549,"Action, adventure, rpg"
88550,"Action, indie"
88551,Indie
88552,"Rpg, strategy"
88553,"Casual, simulation"
88554,Racing
88555,"Rpg, strategy"
88556,"Rpg, strategy"
88557,"Indie, simulation, strategy"
88558,"Action, simulation"
88559,"Action, adventure"
88560,"Adventure, indie"
88561,Strategy
88563,Rpg
88564,Rpg
88566,Adventure
88567,Simulation
88568,Simulation
