,id
88310,761140
88311,643980
88312,670290
88313,767400
88315,772540
88317,774277
88318,774278
88322,770380
88323,768880
88324,765320
88325,773650
88326,774271
88327,773690
88328,774279
88331,768060
88333,775880
88334,775881
88335,653960
88337,282010
88338,70
88339,752360
88343,766850
88348,716110
88349,1640
88350,1630
88351,2400
88356,759920
88358,603280
88359,753110
88360,753100
88362,764280
88365,3800
88366,1520
88367,2420
88368,4000
88369,4230
88370,4900
88371,2520
88372,6200
88373,6210
88374,6300
88375,2990
88376,6220
88377,6510
88378,3980
88379,1700
88380,6310
88381,3990
88382,7610
88383,7600
88385,7620
88387,7650
88388,8000
88389,6550
88390,8200
88391,2290
88393,8210
88394,2280
88395,9160
88396,2300
88397,2270
88398,9010
88399,9040
88400,9000
88401,3810
88402,9030
88403,2310
88404,3230
88405,9310
88406,7670
88407,4570
88408,4580
88409,4760
88410,4770
88411,50970
88414,12130
88415,12160
88416,12150
88417,7000
88418,12140
88419,17480
88420,12500
88421,12310
88422,12510
88423,12530
88424,12520
88425,8100
88426,2780
88428,9710
88429,9800
88430,9760
88431,2700
88432,2710
88433,13200
88434,13250
88435,13000
88436,13560
88437,13520
88438,13240
88439,13540
88440,15210
88441,16180
88442,3520
88443,15970
88444,15950
88445,15960
88446,15900
88447,15910
88448,15930
88449,15160
88450,15920
88451,15080
88452,15200
88453,15320
88454,15240
88455,8310
88456,12600
88457,8320
88458,12590
88460,12560
88462,12540
88463,11050
88465,11040
88466,19500
88467,11260
88468,19200
88469,12360
88470,15710
88471,15700
88472,8660
88473,7770
88474,7660
88475,7760
88476,20510
88477,17330
88478,17300
88479,7730
88480,20900
88481,1530
88482,8690
88483,17120
88484,16810
88485,19830
88486,21000
88487,4460
88488,17140
88489,15390
88490,21300
88491,3050
88492,15380
88493,19800
88494,15370
88495,19930
88496,15350
88497,19810
88498,3540
88499,22000
88500,2820
88501,1230
88502,18300
88503,20200
88504,12200
88505,19900
88506,11240
88507,256522
88508,275144
88509,256521
88510,222569
88511,256535
88512,256611
88513,256576
88514,9480
88515,17470
88516,12770
88517,17410
88518,18500
88519,16450
88520,15400
88521,18600
88522,11340
88523,25830
88524,23460
88525,10600
88526,21010
88527,22180
88528,13210
88529,12640
88531,27020
88532,24740
88534,26000
88535,26006
88536,26005
88537,11330
88538,27800
88539,9850
88540,3600
88541,29580
88542,29540
88543,29560
88544,29570
88545,23700
88546,16060
88547,1930
88548,18470
88549,7510
88550,22200
88551,26007
88552,25900
88553,16200
88554,7840
88555,8890
88556,8880
88557,34500
88558,1280
88559,10150
88560,29160
88561,12470
88563,22330
88564,22320
88566,12440
88567,32710
88568,32740
88569,12460
88570,21980
88571,31860
88572,31900
88573,31920
88574,31930
88575,35800
88577,31170
88578,21660
88579,6080
88580,6010
88581,6090
88582,6060
88583,32310
88584,32330
88585,32360
88586,35300
88587,35310
88588,31980
88590,10140
88591,10100
88592,10130
88593,10110
88594,1256
88595,10120
88596,33520
88597,3610
88598,21680
88599,21670
88600,21030
88601,36000
88602,32370
88603,29180
88604,38410
88605,38420
88606,38430
88609,31180
88610,37960
88611,38000
88612,37400
88613,13570
88615,34420
88616,43100
88618,35000
88621,37600
88622,24029
88623,32140
88624,31190
88625,32770
88626,208306
88627,37300
88628,208300
88629,40300
88630,35070
88631,10606
88632,40700
88633,24840
88634,24870
88635,41500
88636,24800
88637,901735
88638,42800
88639,39560
88640,39550
88641,40330
88642,40320
88643,31200
88644,3130
88645,41100
88646,39540
88647,34640
88648,34630
88650,41000
88651,40340
88652,17450
88653,37100
88654,37500
88655,42810
88656,10180
88657,32440
88658,11450
88659,12710
88660,24790
88661,29120
88662,24810
88663,41800
88664,45300
88665,41900
88666,35420
88667,32430
88669,22370
88670,41802
88671,38080
88672,38090
88673,38100
88674,38070
88675,38210
88676,45700
88677,46410
88678,38110
88679,17570
88680,38130
88681,38160
88682,38150
88683,38120
88684,38140
88685,36300
88686,36310
88687,36320
88688,37030
88689,32450
88691,44100
88692,25960
88693,46250
88694,38180
88695,10695
88696,41050
88697,24055
88698,48700
88699,39900
88700,49900
88701,42120
88702,12220
88703,45730
88704,45400
88705,49600
88706,901399
88707,43500
88708,45302
88709,40930
88710,39640
88711,39630
88712,23150
88713,50940
88714,50920
88715,34178
88716,37340
88717,37390
88718,37310
88720,49000
88721,37330
88722,37320
88723,37370
88724,37380
88725,19080
88727,19030
88729,49800
88730,33650
88731,901478
88732,33660
88733,34281
88734,34272
88735,34270
88736,34276
88737,34274
88738,34275
88739,34277
88740,34273
88741,34280
88743,34282
88744,34279
88745,34010
88746,22610
88747,22440
88748,18508
88749,22430
88750,22410
88751,22420
88752,630
88753,22400
88754,24780
88755,33670
88756,40420
88757,34920
88758,48136
88759,46720
88760,28000
88761,39680
88762,25962
88763,24634
88764,63900
88765,50130
88766,24075
88767,47540
88768,50510
88769,25760
88770,25763
88771,25762
88772,25764
88773,42980
88774,48800
88775,22600
88776,46770
88777,65700
88778,42960
88780,25761
88781,28010
88782,28012
88783,24640
88784,28011
88785,4850
88786,57640
88787,62100
88788,50145
88789,34841
88790,70300
88791,48137
88792,57300
88793,70400
88794,46600
88795,34314
88796,34310
88797,70100
88798,70110
88799,38600
88800,57620
88801,34284
88802,63910
88803,24082
88804,8930
88805,49310
88806,41060
88807,70900
88808,9940
88809,22650
88811,50620
88812,2840
88813,42920
88814,29700
88815,2850
88816,61510
88817,70200
88818,70210
88819,61520
88820,61500
88821,47790
88822,46450
88823,45750
88824,57800
88825,22380
88826,67000
88827,80300
88828,50000
88829,16868
88830,18040
88831,71115
88832,34317
88833,71114
88834,71112
88835,71113
88838,34319
88840,34316
88841,34315
88842,6120
88843,35460
88844,32500
88845,62000
88846,33570
88847,63700
88848,46362
88849,49320
88850,72400
88851,42964
88852,43011
88853,33980
88854,65710
88855,33990
88856,33950
88857,65400
88858,42700
88859,38923
88861,15740
88862,38924
88863,15750
88864,45500
88865,31290
88866,12100
88867,12120
88868,35135
88869,35137
88870,35138
88871,35136
88872,12110
88873,33390
88874,92300
88875,80000
88876,47780
88877,51060
88878,65080
88880,63200
88881,60340
88882,71116
88883,71161
88884,71119
88885,71118
88886,71117
88887,71166
88888,71165
88889,71163
88890,71164
88892,71160
88893,71120
88894,47890
88895,48802
88896,47896
88897,47892
88898,47894
88899,47893
88900,47895
88901,42000
88902,47570
88903,47897
88904,57700
88905,63660
88906,90504
88907,7520
88909,9930
88910,24449
88911,41814
88912,42925
88913,57650
88914,40407
88915,33770
88916,47800
88917,18408
88918,63710
88919,55100
88920,80200
88921,92400
88923,56435
88924,56433
88925,56432
88926,56431
88927,39120
88928,56437
88929,94000
88930,56434
88931,92700
88932,73012
88933,48803
88934,56536
88935,44620
88936,91200
88937,46790
88938,73170
88939,57655
88940,70000
88941,57730
88942,620
88943,42918
88944,91600
